"","City","State","Shape","Sight_Date","Sight_Time","Sight_Weekday","Sight_Month","Sight_Day","Sight_Year"
"1","SAO PAULO","SP","UNKNOWN","12/6/99","0:00","Monday","DECEMBER",6,99
"2","SAO PAULO","SP","LIGHT","6/1/05","0:00","Wednesday","JUNE",1,5
"3","JOAO PESSOA","PB","TRIANGLE","1/18/07","23:50","Thursday","JANUARY",18,7
"4","DOM FELICIANO","RS","LIGHT","5/5/11","23:50","Thursday","MAY",5,11
"5","CASCAVEL","PR","UNKNOWN","3/5/02","23:45","Tuesday","MARCH",5,2
"6","BARRA DO TEJUCO","RJ","UNKNOWN","7/9/03","23:30","Wednesday","JULY",9,3
"7","RIO DE JANEIRO","RJ","LIGHT","5/18/18","23:15","Friday","MAY",18,18
"8","GUAIBA","RS","SPHERE","6/15/74","23:00","Saturday","JUNE",15,74
"9","VITORIA","ES","CIRCLE","6/15/75","23:00","Sunday","JUNE",15,75
"10","SAO PAULO","SP","OTHER","9/2/84","23:00","Sunday","SEPTEMBER",2,84
"11","XANGRILA","RS","TRIANGLE","7/1/99","23:00","Thursday","JULY",1,99
"12","CAMPOS DOS GOYTACAZES","RJ","CIRCLE","5/25/06","23:00","Thursday","MAY",25,6
"13","RECIFE","PE","DISK","12/4/04","22:56","Saturday","DECEMBER",4,4
"14","JOAO PESSOA","PB","CROSS","3/24/07","22:45","Saturday","MARCH",24,7
"15","PORTO ALEGRE","RS","LIGHT","12/31/07","22:40","Monday","DECEMBER",31,7
"16","ABADANIA","GO","LIGHT","8/18/07","22:30","Saturday","AUGUST",18,7
"17","CAMBURI","SP","CIRCLE","12/19/14","22:30","Friday","DECEMBER",19,14
"18","CURITIBA","PR","SPHERE","12/22/17","22:30","Friday","DECEMBER",22,17
"19","RIO DE JANEIRO","RJ","FORMATION","1/5/06","22:10","Thursday","JANUARY",5,6
"20","CASCAVEL","PR","LIGHT","1/20/01","22:00","Saturday","JANUARY",20,1
"21","CAMPINAS","SP","LIGHT","3/3/05","22:00","Thursday","MARCH",3,5
"22","PIRENOPOLIS","GO","CIRCLE","11/10/08","22:00","Monday","NOVEMBER",10,8
"23","TOLEDO","PA","RECTANGLE","10/10/17","22:00","Tuesday","OCTOBER",10,17
"24","JUNDIAI","SP","RECTANGLE","8/24/03","21:45","Sunday","AUGUST",24,3
"25","OURINHOS","SP","LIGHT","2/2/12","21:10","Thursday","FEBRUARY",2,12
"26","RIO DE JANEIRO","RJ","TRIANGLE","2/10/77","21:00","Thursday","FEBRUARY",10,77
"27","CAMPINAS ","SP","TRIANGLE","8/8/79","21:00","Wednesday","AUGUST",8,79
"28","PERUIBE","SP","LIGHT","4/17/09","21:00","Friday","APRIL",17,9
"29","RIO DE JANEIRO","RJ","LIGHT","1/19/97","20:52","Sunday","JANUARY",19,97
"30","EMBU DAS ARTES","SP","FIREBALL","2/21/05","20:35","Monday","FEBRUARY",21,5
"31","SAO PAULO","SP","CHANGING","12/24/95","20:30","Sunday","DECEMBER",24,95
"32","JOINVILLE","SC","RECTANGLE","4/15/13","20:15","Monday","APRIL",15,13
"33","BRASILIA","DF","LIGHT","2/1/77","20:00","Tuesday","FEBRUARY",1,77
"34","RIO DE JANEIRO ","RJ","FORMATION","6/15/83","20:00","Wednesday","JUNE",15,83
"35","SAO PAULO","SP","TRIANGLE","4/20/02","20:00","Saturday","APRIL",20,2
"36","MACEIO","AL","OVAL","12/26/07","20:00","Wednesday","DECEMBER",26,7
"37","MANHUMIRIM","MG","DISK","6/17/14","20:00","Tuesday","JUNE",17,14
"38","SAO PAULO","SP","LIGHT","3/15/75","19:30","Saturday","MARCH",15,75
"39","ITANHAEM","SP","OTHER","1/10/17","19:30","Tuesday","JANUARY",10,17
"40","ATIBAIA","SP","LIGHT","9/13/04","19:15","Monday","SEPTEMBER",13,4
"41","CACADOR","SC","TRIANGLE","9/10/07","19:12","Monday","SEPTEMBER",10,7
"42","CURITIBA","PR","LIGHT","8/6/17","19:05","Sunday","AUGUST",6,17
"43","FLORIANOPOLIS","SC","TEARDROP","6/2/15","19:01","Tuesday","JUNE",2,15
"44","PORTO ALEGRE","RS","CIRCLE","8/11/03","19:00","Monday","AUGUST",11,3
"45","CUIABA","MT","LIGHT","6/30/06","19:00","Friday","JUNE",30,6
"46","SAO SEBASTIAO","SP","DISK","10/4/14","19:00","Saturday","OCTOBER",4,14
"47","CRATO","CE","OTHER","6/13/06","18:30","Tuesday","JUNE",13,6
"48","PERUIBE","SP","LIGHT","7/18/18","18:30","Wednesday","JULY",18,18
"49","RECIFE","PE","LIGHT","8/24/16","18:20","Wednesday","AUGUST",24,16
"50","EMBU DAS ARTES","SP","CIRCLE","7/23/11","18:00","Saturday","JULY",23,11
"51","SAO BENTO DO SUL","SC","CIRCLE","3/27/13","18:00","Wednesday","MARCH",27,13
"52","CAMPO GRANDE","MS","FIREBALL","12/28/14","18:00","Sunday","DECEMBER",28,14
"53","TUCANO","BA","LIGHT","6/21/88","17:10","Tuesday","JUNE",21,88
"54","MONTE ALEGRE","PA","CIGAR","9/18/75","17:00","Thursday","SEPTEMBER",18,75
"55","VILA VELHA","ES","CIRCLE","11/1/88","17:00","Tuesday","NOVEMBER",1,88
"56","BRASILIA","DF","CIRCLE","3/12/75","16:30","Wednesday","MARCH",12,75
"57","PENHA DO CAPIM","MG","UNKNOWN","3/15/01","16:00","Thursday","MARCH",15,1
"58","CURITIBA","PR","CYLINDER","2/2/02","15:30","Saturday","FEBRUARY",2,2
"59","CASCAVEL","PR","SPHERE","7/13/02","15:00","Saturday","JULY",13,2
"60","SAO PAULO","SP","CIGAR","2/7/17","13:00","Tuesday","FEBRUARY",7,17
"61","CURITIBA","PR","CYLINDER","6/30/90","12:00","Saturday","JUNE",30,90
"62","CAMPOS DOS GOYTACAZES","RJ","DISK","6/12/08","12:00","Thursday","JUNE",12,8
"63","SAO PAULO","SP","DISK","12/28/15","11:34","Monday","DECEMBER",28,15
"64","BELO HORIZONTE","MG","CYLINDER","11/1/71","11:20","Monday","NOVEMBER",1,71
"65","FORTALEZA","CE","OVAL","12/16/03","11:00","Tuesday","DECEMBER",16,3
"66","SERRA NEGRA","SP","FORMATION","12/16/04","11:00","Thursday","DECEMBER",16,4
"67","SAO PAULO","SP","TRIANGLE","9/17/05","10:40","Saturday","SEPTEMBER",17,5
"68","PONTA GROSSA","PR","DISK","5/8/00","10:00","Monday","MAY",8,0
"69","SERRA NEGRA","SP","OVAL","6/19/04","9:10","Saturday","JUNE",19,4
"70","SAO PAULO","SP","CYLINDER","4/12/78","9:00","Wednesday","APRIL",12,78
"71","BELO HORIZONTE","MG","SPHERE","4/2/18","8:15","Monday","APRIL",2,18
"72","CONDE-BAHIA","BA","TRIANGLE","8/10/14","5:45","Sunday","AUGUST",10,14
"73","PORTO ALEGRE","RS","LIGHT","2/5/18","5:30","Monday","FEBRUARY",5,18
"74","RECIFE","PE","OVAL","2/8/96","5:12","Thursday","FEBRUARY",8,96
"75","PORTO ALEGRE","RS","TRIANGLE","2/4/02","5:00","Monday","FEBRUARY",4,2
"76","JITAUNA","BA","RECTANGLE","4/8/15","5:00","Wednesday","APRIL",8,15
"77","LONDRINA","PR","LIGHT","4/26/15","4:30","Sunday","APRIL",26,15
"78","IPATINGA","MG","OVAL","12/20/03","3:40","Saturday","DECEMBER",20,3
"79","RIO DE JANEIRO","RJ","DISK","6/13/70","3:30","Saturday","JUNE",13,70
"80","RIO DE JANEIRO","RJ","OTHER","6/13/70","3:30","Saturday","JUNE",13,70
"81","RESENDE","RJ","DISK","4/10/94","3:30","Sunday","APRIL",10,94
"82","CURITIBA","PR","UNKNOWN","9/30/02","3:30","Monday","SEPTEMBER",30,2
"83","RIO DE JANEIRO","RJ","LIGHT","4/25/10","3:04","Sunday","APRIL",25,10
"84","ECOPORANGA","ES","OVAL","6/30/95","3:00","Friday","JUNE",30,95
"85","JOANOPOLIS","SP","TRIANGLE","3/22/04","3:00","Monday","MARCH",22,4
"86","SERTAOZINHO","SP","CIRCLE","5/5/06","3:00","Friday","MAY",5,6
"87","SAQUAREMA","RJ","LIGHT","11/6/09","3:00","Friday","NOVEMBER",6,9
"88","RIO DE JANEIRO","RJ","CIGAR","3/4/03","2:40","Tuesday","MARCH",4,3
"89","RIBEIRAO PRETO","SP","LIGHT","11/8/08","2:30","Saturday","NOVEMBER",8,8
"90","SAO PAULO","SP","DISK","2/15/83","2:00","Tuesday","FEBRUARY",15,83
"91","SAO PAULO","SP","LIGHT","5/19/86","2:00","Monday","MAY",19,86
"92","RIO DE JANEIRO","RJ","LIGHT","5/18/03","2:00","Sunday","MAY",18,3
"93","MACEIO","AL","OVAL","6/24/11","2:00","Friday","JUNE",24,11
"94","RIO DE JANEIRO","RJ","TRIANGLE","12/1/94","1:00","Thursday","DECEMBER",1,94
"95","CAMPOS ALTOS","MG","RECTANGLE","7/8/09","1:00","Wednesday","JULY",8,9
